TH,Eskualde-Kodea,Udalherri-Kodea,EREMU,Errolda,Hautesleak,Baliogabeak,Baleko,Zuriak,Hautagaien B.,Abstentzioa,EAJ-PNV,PP,EB-B,PH,EK-PCPE,POSI,UCE,PSE-EE/PSOE,PACMA/ATTKA,PUM+J,PFYV,UPYD,EQUO,IU-LV,EB-AZ,ONGI ETORRI,EH BILDU,PYC,HARTOS.ORG
BIZKAIA,4,064,MEÑAKA,599,473,2,471,3,468,126,214,9,6,0,0,0,1,8,1,0,0,1,0,0,1,,226,,1
BIZKAIA,4,066,MORGA,358,276,0,276,0,276,82,177,3,0,0,0,0,0,3,0,0,0,0,4,0,0,,89,,0
BIZKAIA,4,067,MUXIKA,1191,912,5,907,1,906,279,410,13,10,0,0,0,0,19,0,1,1,0,2,8,3,,438,,1
BIZKAIA,4,068,MUNDAKA,1575,1260,4,1256,8,1248,315,747,17,10,0,0,0,0,32,0,1,0,1,5,4,3,,426,,2
BIZKAIA,4,069,MUNGIA,12486,8729,45,8684,90,8594,3757,4548,668,125,6,9,8,2,681,20,14,9,65,55,119,39,,2194,,32
BIZKAIA,4,070,AULESTI,543,407,2,405,6,399,136,135,0,0,0,0,0,0,3,0,0,0,0,0,1,0,,260,,0
BIZKAIA,4,073,ONDARROA,7090,4898,27,4871,39,4832,2192,1729,169,36,0,0,1,1,147,9,2,0,7,10,36,9,,2672,,4
BIZKAIA,4,076,SUKARRIETA,298,240,0,240,1,239,58,145,6,2,0,0,0,0,9,0,0,0,0,0,3,7,,64,,3
BIZKAIA,4,077,PLENTZIA,3386,2467,16,2451,23,2428,919,1303,185,23,1,0,8,1,174,8,4,1,22,22,30,19,,615,,12
BIZKAIA,4,079,ERRIGOITI,459,383,0,383,6,377,76,190,10,3,0,0,1,0,4,0,0,0,0,3,2,0,,163,,1
BIZKAIA,4,081,LEZAMA,1906,1426,6,1420,19,1401,480,772,54,14,0,0,2,0,80,2,1,1,7,8,23,7,,428,,2
BIZKAIA,4,085,SOPELANA,9982,6898,55,6843,97,6746,3084,2816,411,95,6,9,4,7,807,33,9,7,85,86,192,77,,2063,,39
BIZKAIA,4,089,URDULIZ,2949,2151,14,2137,23,2114,798,972,120,37,3,0,1,0,222,7,1,2,26,20,46,16,,624,,17
BIZKAIA,4,901,DERIO,4501,3187,22,3165,50,3115,1314,1379,212,58,2,1,4,2,697,12,11,6,35,25,69,28,,549,,25
BIZKAIA,4,902,ERANDIO,19229,12134,105,12029,236,11793,7095,4963,874,236,9,9,17,11,2632,44,26,11,159,88,337,113,,2197,,67
BIZKAIA,4,903,LOIU,1915,1429,11,1418,7,1411,486,868,145,12,2,0,0,1,92,3,5,1,13,8,18,10,,228,,5
BIZKAIA,4,904,SONDIKA,3523,2645,27,2618,43,2575,878,1383,207,30,1,2,2,0,287,7,4,3,29,13,44,19,,537,,7
BIZKAIA,4,905,ZAMUDIO,2583,1885,31,1854,18,1836,698,907,89,34,0,0,1,0,180,3,1,3,9,7,27,14,,555,,6
BIZKAIA,4,906,FORUA,778,629,1,628,4,624,149,293,13,3,0,0,0,0,24,1,0,0,1,4,3,1,,281,,0
BIZKAIA,4,907,KORTEZUBI,346,296,1,295,5,290,50,162,3,0,0,0,0,0,2,0,0,0,3,1,2,0,,117,,0
BIZKAIA,4,908,MURUETA,243,199,3,196,1,195,44,101,3,2,0,0,0,0,3,0,0,0,2,1,0,0,,83,,0
BIZKAIA,4,909,NABARNIZ,193,162,0,162,1,161,31,59,0,1,0,0,0,0,1,0,0,0,0,0,0,2,,98,,0
BIZKAIA,4,911,AJANGIZ,368,308,1,307,4,303,60,102,1,2,1,0,0,0,0,0,0,1,0,2,0,1,,192,,1
BIZKAIA,4,914,ARRATZU,323,278,2,276,2,274,45,138,0,1,0,1,0,0,1,0,0,0,0,2,1,0,,130,,0
BIZKAIA,4,915,ZIORTZA - BOLIBAR,364,279,1,278,1,277,85,125,3,0,0,0,0,0,4,0,0,0,0,0,0,0,,144,,1
BIZKAIA,99,999,MUNICIPIO CERA BIZKAIA,30271,1704,24,1680,9,1671,28567,571,270,18,6,5,4,1,335,17,1,7,59,22,47,2,,300,,6
