TH,Eskualde-Kodea,Udalherri-Kodea,EREMU,Errolda,Hautesleak,Baliogabeak,Baleko,Zuriak,Hautagaien B.,Abstentzioa,EAJ-PNV,PP,EB-B,PH,EK-PCPE,POSI,UCE,PSE-EE/PSOE,PACMA/ATTKA,PUM+J,PFYV,UPYD,EQUO,IU-LV,EB-AZ,ONGI ETORRI,EH BILDU,PYC,HARTOS.ORG
GIPUZKOA,3,052,LEGORRETA,1145,799,2,797,12,785,346,292,23,8,0,,,0,59,0,2,,1,2,13,8,,377,,
GIPUZKOA,3,054,LIZARTZA,465,350,0,350,7,343,115,67,9,0,0,,,0,1,0,0,,0,0,4,0,,262,,
GIPUZKOA,3,057,MUTILOA,192,121,0,121,2,119,71,40,0,0,0,,,0,1,0,0,,0,0,1,1,,76,,
GIPUZKOA,3,058,OLABERRIA,765,509,1,508,5,503,256,170,35,4,0,,,0,96,3,0,,4,4,16,0,,171,,
GIPUZKOA,3,060,OREXA,89,80,2,78,1,77,9,2,0,0,0,,,0,0,0,0,,0,0,0,0,,75,,
GIPUZKOA,3,062,ORMAIZTEGI,990,714,0,714,10,704,276,300,24,7,0,,,0,30,0,4,,3,3,4,8,,321,,
GIPUZKOA,3,070,SEGURA,1100,833,3,830,5,825,267,329,5,3,0,,,0,18,3,0,,0,2,2,0,,463,,
GIPUZKOA,3,071,TOLOSA,14599,9671,46,9625,123,9502,4928,3780,465,120,4,,,6,1051,26,13,,39,73,186,78,,3661,,
GIPUZKOA,3,075,VILLABONA,4397,2816,14,2802,49,2753,1581,917,113,28,4,,,3,338,8,3,,17,8,69,21,,1224,,
GIPUZKOA,3,076,ORDIZIA,6956,4679,22,4657,77,4580,2277,1576,266,56,5,,,3,709,15,13,,26,32,149,30,,1700,,
GIPUZKOA,3,077,URRETXU,5334,3659,18,3641,46,3595,1675,1296,174,71,3,,,1,734,13,5,,24,16,117,31,,1110,,
GIPUZKOA,3,078,ZALDIBIA,1156,889,5,884,10,874,267,216,7,5,2,,,0,44,1,2,,1,2,10,3,,581,,
GIPUZKOA,3,080,ZUMARRAGA,8109,5199,40,5159,62,5097,2910,1482,345,96,7,,,6,1625,23,10,,42,23,172,23,,1243,,
GIPUZKOA,3,904,BALIARRAIN,103,59,0,59,1,58,44,9,0,0,0,,,0,0,1,0,,0,0,0,0,,48,,
GIPUZKOA,3,905,ORENDAIN,139,107,0,107,1,106,32,32,0,0,0,,,0,1,0,1,,0,1,0,1,,70,,
GIPUZKOA,3,906,ALTZAGA,116,91,0,91,1,90,25,34,0,1,1,,,0,2,0,0,,0,1,2,0,,49,,
GIPUZKOA,3,907,GAZTELU,138,105,4,101,1,100,33,31,0,0,0,,,0,2,1,0,,0,1,0,0,,65,,
GIPUZKOA,4,003,AIZARNAZABAL,553,380,0,380,4,376,173,120,0,1,0,,,0,6,1,2,,1,0,1,1,,243,,
GIPUZKOA,4,011,ANTZUOLA,1692,1271,5,1266,7,1259,421,402,24,14,0,,,0,124,0,1,,3,5,22,4,,660,,
GIPUZKOA,4,013,ARETXABALETA,5389,3679,35,3644,27,3617,1710,1250,132,61,1,,,3,497,6,8,,17,34,117,12,,1479,,
GIPUZKOA,4,016,AIA,1527,1013,5,1008,4,1004,514,497,9,4,0,,,0,15,3,0,,2,7,9,10,,448,,
GIPUZKOA,4,017,AZKOITIA,8587,5872,28,5844,42,5802,2715,2428,246,62,11,,,3,628,15,6,,26,22,88,29,,2238,,
GIPUZKOA,4,018,AZPEITIA,11064,7776,37,7739,68,7671,3288,3326,190,42,4,,,1,368,5,4,,25,8,78,23,,3597,,
GIPUZKOA,4,020,BEIZAMA,139,91,0,91,1,90,48,36,1,0,0,,,0,0,2,0,,0,1,0,0,,50,,
GIPUZKOA,4,024,BIDEGOIAN,397,253,1,252,1,251,144,74,9,6,1,,,0,2,2,0,,1,1,2,0,,153,,
GIPUZKOA,4,027,ZESTOA,2797,1924,6,1918,20,1898,873,748,19,18,0,,,1,71,4,5,,6,4,18,8,,996,,
GIPUZKOA,4,029,DEBA,4266,3042,13,3029,35,2994,1224,1213,101,49,4,,,0,254,7,1,,19,15,59,16,,1256,,
GIPUZKOA,4,030,EIBAR,22013,14517,82,14435,182,14253,7496,4250,1150,236,9,,,8,3954,39,23,,124,99,415,107,,3839,,
GIPUZKOA,4,032,ELGOIBAR,8902,6036,41,5995,70,5925,2866,2328,354,56,3,,,3,988,6,4,,38,24,112,50,,1959,,
GIPUZKOA,4,033,ELGETA,874,668,7,661,5,656,206,254,14,8,0,,,0,17,0,1,,1,6,18,4,,333,,
GIPUZKOA,4,034,ESKORIATZA,3169,2031,9,2022,11,2011,1138,636,64,38,3,,,3,407,3,5,,4,19,85,10,,734,,
GIPUZKOA,4,039,GETARIA,2017,1571,1,1570,14,1556,446,701,24,6,0,,,0,43,2,1,,3,2,14,12,,748,,
GIPUZKOA,4,055,ARRASATE / MONDRAGON,17704,11394,72,11322,123,11199,6310,3361,561,207,10,,,7,2272,23,22,,56,69,440,61,,4110,,
GIPUZKOA,4,056,MUTRIKU,4002,2688,17,2671,45,2626,1314,1104,83,36,2,,,1,122,6,3,,1,34,24,6,,1204,,
GIPUZKOA,4,059,OÑATI,8846,6408,19,6389,50,6339,2438,2463,197,74,1,,,1,423,1,7,,7,27,97,31,,3010,,
GIPUZKOA,4,061,ORIO,4047,2729,9,2720,26,2694,1318,1302,55,29,1,,,0,175,5,3,,2,14,46,32,,1030,,
GIPUZKOA,4,065,SORALUZE-PLACENCIA DE LAS ARMAS,3112,2072,8,2064,21,2043,1040,613,158,22,0,,,0,407,5,1,,11,4,34,13,,775,,
GIPUZKOA,4,066,ERREZIL,466,326,6,320,0,320,140,95,0,0,0,,,0,1,0,0,,0,1,2,0,,221,,
GIPUZKOA,4,068,LEINTZ-GATZAGA,200,122,0,122,1,121,78,38,0,0,0,,,0,1,0,0,,0,1,2,0,,79,,
GIPUZKOA,4,074,BERGARA,11612,7981,49,7932,83,7849,3631,2885,240,114,5,,,3,969,18,11,,18,58,173,49,,3306,,
GIPUZKOA,4,079,ZARAUTZ,17258,11709,67,11642,146,11496,5549,4760,747,99,11,,,14,1479,30,19,,103,89,233,131,,3781,,
GIPUZKOA,4,081,ZUMAIA,7393,4965,34,4931,54,4877,2428,1887,173,65,1,,,1,694,9,10,,29,39,110,43,,1816,,
GIPUZKOA,4,901,MENDARO,1458,970,6,964,3,961,488,405,34,8,0,,,0,110,3,1,,12,12,19,6,,351,,
GIPUZKOA,99,999,MUNICIPIO CERA GIPUZKOA,21692,1935,25,1910,10,1900,19757,471,201,19,8,,,2,365,21,5,,50,35,70,17,,636,,
BIZKAIA,1,020,BILBAO,275318,178923,1095,177828,2347,175481,96395,64817,29481,2566,198,116,304,95,34844,713,443,281,4222,1747,4655,2200,,27874,,925
BIZKAIA,2,002,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,7968,5082,66,5016,92,4924,2886,2010,194,112,7,3,6,8,1109,17,2,6,49,44,190,29,,1120,,18
BIZKAIA,2,008,ARTZENTALES,601,441,14,427,4,423,160,273,14,5,0,0,1,0,17,2,0,0,0,2,4,1,,104,,0
BIZKAIA,2,013,BARAKALDO,80765,49393,455,48938,731,48207,31372,14408,5971,1132,47,49,86,34,14280,190,125,86,1247,362,2163,484,,7263,,280
